Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,ylabel
1,Famine,0,239,179,179,199,154.9911,0
1,Famine,0,179,179,179,99,114.5535,0
1,Famine,1,139,179,179,139,775.7385,1
1,Famine,1,139,298,298,99,124.6134,1
1,Famine,1,278,179,179,179,125.3236,1
1,Famine,0,139,139,139,159,460.4131,1
1,Famine,0,239,100,100,179,60.6671,0
1,Hurricane,1,179,278,278,219,248.7217,1
1,Flood,1,238,99,99,99,121.0372,2
1,Famine,0,119,139,139,219,74.8415,1
1,Hurricane,1,99,179,179,99,293.0004,1
1,Famine,0,139,99,99,179,167.5067,0
1,Famine,1,258,179,179,179,78.8432,0
1,Famine,1,139,239,239,80,128.7187,0
1,Hurricane,1,159,179,179,199,172.0356,1
1,Famine,0,119,139,139,159,210.2439,0
1,Flood,1,179,279,279,239,1246.5482,2
1,Flood,1,139,159,159,80,73.6359,2
4,Famine,0,119,239,736,199,100.7435,1
1,Hurricane,0,239,119,119,239,178.2653,0
1,Famine,0,179,298,298,119,163.5619,0
1,Famine,1,139,100,100,139,111.6121,1
1,Famine,0,80,139,139,99,106.6677,0
1,Flood,0,119,318,318,298,99.6092,2
1,Famine,0,119,119,119,179,88.8876,1
1,Famine,1,358,139,139,139,533.496,1
1,Flood,1,139,119,119,179,152.5664,2
1,Hurricane,1,298,179,179,219,244.4407,1
1,Famine,0,99,159,159,199,98.0319,1
1,Flood,0,80,139,139,298,144.0434,2
1,Famine,0,239,239,239,80,157.7862,1
2,Famine,0,0,199,418,159,0,1
1,Flood,1,179,258,258,99,46.1979,2
1,Famine,0,139,80,80,159,122.8993,0
1,Famine,0,99,139,139,139,50.5693,0
1,Famine,0,99,100,100,119,162.2999,0
1,Famine,0,139,99,99,239,302.8473,1
1,Hurricane,1,179,99,99,80,214.6491,1
1,Famine,0,99,159,159,557,224.2014,1
1,Famine,0,179,99,99,119,295.0813,1
3,Flood,0,99,99,318,139,75.2728,2
3,Flood,1,80,99,437,139,152.0008,2
4,Hurricane,1,199,278,635,179,331.1654,1
1,Famine,0,99,139,139,139,128.8187,1
1,Famine,0,119,119,119,238,149.1208,1
1,Famine,1,319,20,20,199,89.9389,1
1,Famine,0,80,80,80,119,191.3766,0
1,Hurricane,1,298,199,199,179,382.5735,0
1,Famine,0,139,259,259,219,182.3417,0
2,Hurricane,1,338,298,437,80,225.9878,0
1,Flood,1,99,99,99,179,324.6448,2
1,Famine,0,239,259,259,119,292.2499,0
1,Famine,0,99,199,199,139,186.7492,0
1,Famine,1,179,298,298,199,233.2349,0
1,Hurricane,1,119,139,139,139,440.0821,1
1,Hurricane,1,100,99,99,159,196.2301,0
1,Famine,0,159,100,100,139,184.0679,0
3,Famine,0,219,298,636,99,635.0185,0
1,Flood,0,159,119,119,119,658.4045,2
1,Hurricane,1,99,80,80,179,158.5757,1
1,Flood,1,139,139,139,199,73.2069,2
1,Flood,0,199,159,159,20,182.116,2
1,Flood,0,119,239,239,139,297.0152,2
1,Hurricane,1,159,99,99,139,220.4342,0
1,Famine,0,199,159,159,119,176.098,1
1,Flood,0,318,298,298,259,179.2519,2
1,Flood,0,179,239,239,139,70.7142,2
1,Flood,0,179,239,239,139,77.5403,2
1,Famine,0,139,99,99,99,95.6151,0
1,Hurricane,1,179,159,159,99,116.0528,1
1,Flood,1,179,20,20,140,75.208,2
1,Flood,0,139,238,238,199,170.2939,2
1,Hurricane,0,139,199,199,179,215.6965,0
1,Hurricane,0,99,159,159,199,242.3267,1
1,Famine,0,139,259,259,99,332.1333,1
2,Famine,0,199,80,199,99,300.0375,0
1,Famine,0,259,139,139,139,90.1124,1
2,Famine,1,239,99,258,119,242.0331,0
1,Flood,1,339,339,339,179,680.036,2
1,Famine,1,139,199,199,179,258.4918,0
3,Famine,1,139,298,458,80,224.5802,1
1,Famine,0,159,99,99,99,132.8166,0
1,Famine,1,199,139,139,119,54.9477,1
1,Flood,0,139,179,179,179,136.1323,2
2,Famine,0,119,80,160,139,313.7375,1
2,Famine,0,120,140,299,339,300.2732,0
1,Famine,0,119,119,119,80,181.3974,1
1,Flood,1,80,139,139,179,122.2804,2
1,Famine,0,179,199,199,199,185.0547,1
1,Famine,0,0,80,80,159,0,0
1,Famine,1,258,119,119,258,115.0761,1
1,Famine,0,120,399,399,319,69.5701,0
1,Famine,1,258,179,179,199,260.2768,1
2,Flood,0,80,139,278,80,374.3027,2
1,Flood,1,139,179,179,179,394.6533,2
1,Famine,0,140,120,120,259,109.6016,1
1,Flood,0,179,139,139,199,122.0656,2
2,Famine,0,159,99,198,139,209.1531,0
1,Flood,0,139,99,99,99,143.0009,2
1,Famine,0,80,119,119,119,257.5587,0
1,Flood,0,99,99,99,258,235.5048,2
2,Famine,0,139,119,218,199,186.0544,0
1,Famine,0,139,298,298,159,764.3173,1
1,Famine,0,179,100,100,139,191.5529,0
1,Famine,0,259,199,199,239,292.767,1
1,Famine,0,139,99,99,99,41.14,0
1,Flood,1,199,139,139,179,448.6627,2
1,Famine,0,179,638,638,678,514.7487,0
1,Hurricane,1,199,139,139,139,228.1847,1
1,Flood,0,0,99,99,139,240.0271,2
1,Flood,0,100,179,179,179,160.2256,2
2,Famine,0,119,179,259,199,93.6082,0
1,Flood,1,80,179,179,139,75.4934,2
3,Famine,0,139,159,397,159,206.5871,1
1,Flood,1,159,139,139,119,171.2921,2
1,Famine,0,199,239,239,199,69.3055,1
1,Flood,0,99,398,398,119,225.6817,2
